document	charts	moved	base_ink	head_ink
083_Infographic_Hexagon_Cluster_for_PowerPoint_and_Google_Slides_ef811a12.pptx	0	same		
090_Infographic_Radial_for_PowerPoint_and_Google_Slides_16a69891.pptx	0	same		
091_Infographic_Radial_for_PowerPoint_and_Google_Slides_c6909fa6.pptx	0	same		
092_Infographic_Tree_Diagram_for_PowerPoint_and_Google_Slides_d721fa00.pptx	0	same		
096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx	6	same		
009_3-Circle_Venn_PowerPoint_Diagram_2e59baa9.pptx	0	same		
012_3-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_982482b5.pptx	0	same		
018_4-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_19957cce.pptx	0	same		
038_Competitive_Advantage_Card_for_PowerPoint_and_Google_Slides_373720f6.pptx	2	same		
040_Crab_Diagram_for_PowerPoint_and_Google_Slides_13d38ff3.pptx	0	same		
058_Four-Direction_Divergence_Diagram_for_PowerPoint_and_Google_Slides_9838e28d.pptx	0	same		
065_Fourfold_Ribbon_Rings_for_PowerPoint_and_Google_Slides_39687419.pptx	0	same		
072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0.pptx	6	same		
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a.pptx	0	same		
100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	6	same		
015_4-Option_Color_Wheel_Diagram_df7e4b8f.pptx	0	same		
020_5-Option_Color_Wheel_Diagram_104ea3b0.pptx	0	same		
022_5-Step_Hexagons_Puzzle_Diagram_for_PowerPoint_eda9895e.pptx	0	same		
025_6-Option_Color_Wheel_Diagram_27e1c74d.pptx	0	same		
030_Abstract_Petal_Diagram_71aa5e3a.pptx	0	same		
033_Battery_Percentage_Chart_c99c24b5.pptx	6	same		
037_Circle_Matrix_Framework_44bc5218.pptx	0	same		
052_Flame_Percentage_Chart_d27d49c4.pptx	8	same		
075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021.pptx	0	same		
087_Infographic_Organization_Chart_for_PowerPoint_and_Google_Slides_2d951912.pptx	0	same		
002_10-Point_Dual_Hub_Comparison_4ee242c9.pptx	0	same		
027_6-Point_Dual_Hub_Comparison_13f9af30.pptx	0	same		
028_8-Point_Dual_Hub_Comparison_d6c5dde5.pptx	0	same		
041_Crosswise_Quadrant_Diagram_ea8bdf52.pptx	0	same		
042_Diamond_Hub_Infographic_a60cfaa1.pptx	0	same		
045_Dual-Segment_Quadrant_14a57221.pptx	0	same		
048_Five-Arrows_Converging_Cycle_bb192e27.pptx	0	same		
063_Four-Step_Infinity_Loop_3480185b.pptx	0	same		
093_Insightful_Zoom_Chart_22b5464e.pptx	2	same		
095_Interwoven_Bars_e5aa46c2.pptx	0	same		
010_3-Group_Hierarchy_for_PowerPoint_and_Google_Slides_20476ce0.pptx	0	same		
026_6-Part_Hexagon_Radial_Diagram_b8ca3f40.pptx	0	same		
034_Central_Idea_Hub_Diagram_8258e6ad.pptx	0	same		
046_Eight-Point_Strategic_Compass_35ee62de.pptx	0	same		
051_Five-Stage_Zigzag_Timeline_2bd39be9.pptx	0	same		
053_Flow_Wave_Process_9c0082f4.pptx	0	same		
060_Four-Part_Radial_Core_Diagram_40d6614e.pptx	0	same		
062_Four-Step_Growth_Staircase_8a3ef338.pptx	0	same		
097_Labeled_Organization_Chart_for_PowerPoint_and_Google_Slides_f24fa592.pptx	0	same		
098_Leaning_Cards_Process_dadb3738.pptx	0	same		
003_2-Circle_Venn_Diagram_7ab74e5c.pptx	0	same		
008_3-Circle_Venn_Diagram_024a12c5.pptx	0	same		
013_3-Step_Segmented_Cycle_Process_5232f82d.pptx	0	same		
061_Four-Stage_Serpentine_Chart_05699efe.pptx	8	same		
064_Four-Step_Success_Cycle_30c0a917.pptx	0	same		
067_Free_PowerPoint_Layered_Funnel_Process_4_Stages_4deb9647.pptx	0	same		
073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b.pptx	0	same		
